ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:53:00,server_1,50.54,50.1,3951.93,4001.46,943.91
20:53:00,server_20,92.83,0.99,945.43,1374.86,48.0
20:53:00,server_19,46.48,75.92,509.1,386.31,28.93
20:53:00,server_18,80.1,9.67,835.23,553.5,81.76
20:53:00,server_17,29.71,49.54,9.55,5.26,5301.98
20:53:00,server_16,13.97,84.77,122.7,171.2,31.96
20:53:00,server_14,47.36,41.83,192.35,156.59,5114.11
20:53:00,server_13,57.12,51.87,14910.4,15443.24,66.16
20:53:00,server_12,25.0,23.7,209.73,303.61,0.0
20:53:00,server_11,39.15,47.97,50.79,33.74,3221.31
20:53:00,server_15,98.38,4.89,1040.95,946.04,65.76
20:53:00,server_9,94.52,13.35,962.63,748.96,51.58
20:53:00,server_8,24.59,42.29,202.32,258.84,0.0
20:53:00,server_7,85.19,81.46,853.55,1183.3,35.69
20:53:00,server_6,69.1,56.28,756.79,989.5,110.52
20:53:00,server_5,60.58,61.99,536.34,773.85,0.0
20:53:00,server_4,50.42,50.94,476.89,355.41,0.0
20:53:00,server_3,60.87,73.2,588.6,587.96,78.66
20:53:00,server_2,17.17,89.44,228.89,325.08,110.14
20:53:00,server_10,89.11,98.52,904.37,609.17,96.29
20:53:05,server_13,55.09,44.34,517.72,591.53,62.68
20:53:05,server_14,33.47,40.3,92.06,64.61,3471.17
20:53:05,server_15,23.77,32.82,214.92,167.35,23.13
20:53:05,server_16,65.22,76.97,836.62,940.1,63.68
20:53:05,server_20,77.1,51.87,7954.76,9292.73,110.35
20:53:05,server_18,56.38,43.17,514.96,486.81,115.99
20:53:05,server_19,99.33,82.1,1016.11,1295.14,102.58
20:53:05,server_12,58.52,67.8,519.07,277.38,36.88
20:53:05,server_17,91.22,99.15,927.21,1037.65,99.56
20:53:05,server_11,21.66,36.47,169.44,170.8,33.94
20:53:05,server_5,62.19,62.98,681.07,606.49,51.54
20:53:05,server_9,91.04,12.46,947.76,967.66,97.7
20:53:05,server_10,97.43,10.44,944.24,1114.98,41.66
20:53:05,server_2,28.54,33.19,310.49,160.32,0.0
20:53:05,server_3,9.34,86.22,85.62,105.32,81.37
20:53:05,server_4,23.81,27.56,223.45,259.36,41.03
20:53:05,server_1,9.9,96.49,79.42,45.42,86.84
20:53:05,server_6,9.74,97.38,73.0,108.23,0.0
20:53:05,server_7,74.82,34.04,11990.28,10856.54,184.89
20:53:05,server_8,33.68,23.47,131.34,86.13,9470.65
20:53:10,server_20,30.18,31.07,254.06,215.13,34.12
20:53:10,server_19,53.83,68.47,2084.76,1972.38,1140.57
20:53:10,server_18,20.99,28.46,178.96,139.83,109.09
20:53:10,server_17,4.23,97.5,16.49,21.9,1.12
20:53:10,server_16,31.37,27.58,163.95,184.11,3260.2
20:53:10,server_14,46.91,48.0,1189.44,1024.95,1571.91
20:53:10,server_13,49.27,40.38,543.12,626.27,76.67
20:53:10,server_12,2.6,80.97,94.12,62.41,91.99
20:53:10,server_11,81.52,8.17,778.19,1136.49,80.68
20:53:10,server_15,35.13,40.3,51.9,74.39,5907.13
20:53:10,server_9,97.97,29.89,1047.5,1151.99,29.75
20:53:10,server_2,29.54,25.05,365.01,210.59,59.04
20:53:10,server_3,67.97,31.65,19481.71,19294.48,55.79
20:53:10,server_4,29.1,48.15,2.42,3.21,9127.4
20:53:10,server_5,56.39,61.68,497.75,629.89,105.6
20:53:10,server_1,57.51,50.74,546.47,389.42,100.37
20:53:10,server_6,75.06,54.96,15408.94,16343.23,121.49
20:53:10,server_7,47.63,68.59,1854.12,1690.99,883.58
20:53:10,server_8,48.83,59.06,1364.87,1544.47,1070.24
20:53:10,server_10,29.16,20.46,64.33,76.67,3922.14
20:53:15,server_12,63.82,52.52,2091.3,1713.43,1102.01
20:53:15,server_19,98.9,86.67,997.22,964.01,99.58
20:53:15,server_18,31.81,41.73,351.5,439.1,35.88
20:53:15,server_17,66.71,45.34,686.6,822.14,74.18
20:53:15,server_16,28.52,27.86,329.63,343.33,49.12
20:53:15,server_15,35.47,23.17,180.06,266.34,4203.01
20:53:15,server_14,51.77,37.79,10979.17,9405.05,181.61
20:53:15,server_13,27.4,28.59,315.85,372.92,9.56
20:53:15,server_11,28.24,30.36,312.29,429.19,68.81
20:53:15,server_20,33.09,36.42,298.06,327.64,67.09
20:53:15,server_9,53.58,55.94,491.91,530.89,138.52
20:53:15,server_1,42.22,67.09,499.0,255.35,39.03
20:53:15,server_2,67.32,80.84,664.92,537.45,113.02
20:53:15,server_3,53.39,46.0,473.53,354.63,45.42
20:53:15,server_4,87.96,18.59,924.33,706.89,157.34
20:53:15,server_10,41.82,43.8,425.88,312.33,54.47
20:53:15,server_6,54.97,69.28,573.49,558.81,25.96
20:53:15,server_7,66.41,54.68,3528.17,3281.88,1536.32
20:53:15,server_8,29.89,98.64,387.3,543.31,4.96
20:53:15,server_5,9.38,97.45,97.56,139.85,122.25
20:53:20,server_11,27.38,88.59,233.28,240.86,111.32
20:53:20,server_19,68.71,82.78,751.18,907.18,168.59
20:53:20,server_18,32.17,53.57,331.81,448.14,0.0
20:53:20,server_17,10.06,96.29,71.1,60.9,98.54
20:53:20,server_16,39.67,53.81,414.23,513.05,23.51
20:53:20,server_15,34.4,39.24,184.93,250.26,5830.89
20:53:20,server_14,9.01,86.17,101.39,143.39,10.01
20:53:20,server_13,82.63,6.21,898.24,523.91,64.4
20:53:20,server_12,63.17,77.03,599.99,635.47,62.17
20:53:20,server_20,48.8,41.54,447.04,395.71,124.06
20:53:20,server_10,52.84,51.58,468.05,395.7,0.0
20:53:20,server_8,29.01,95.65,292.39,253.06,96.48
20:53:20,server_7,27.28,25.68,316.11,382.88,26.45
20:53:20,server_6,94.04,0.38,953.4,959.18,61.75
20:53:20,server_5,21.74,35.48,212.36,250.81,126.32
20:53:20,server_4,30.34,25.73,144.43,165.77,5600.31
20:53:20,server_3,46.9,53.64,1080.76,1257.38,1415.95
20:53:20,server_2,48.77,49.81,4765.64,5092.53,1485.83
20:53:20,server_1,61.66,53.21,666.89,656.82,105.51
20:53:20,server_9,62.36,55.58,5144.63,4995.59,144.39
20:53:25,server_13,51.04,63.68,384.84,227.61,20.17
20:53:25,server_14,44.57,48.06,373.89,304.01,25.71
20:53:25,server_16,26.61,24.4,320.77,414.93,0.0
20:53:25,server_12,99.99,25.51,984.75,1342.42,111.32
20:53:25,server_18,68.61,71.89,751.22,906.02,76.75
20:53:25,server_19,65.16,54.5,10033.5,11957.95,32.74
20:53:25,server_20,49.3,44.64,2997.83,3106.64,1953.03
20:53:25,server_17,45.12,63.54,4796.83,4902.37,1450.06
20:53:25,server_11,36.07,41.22,406.13,357.54,57.84
20:53:25,server_15,31.77,55.79,324.6,169.39,24.46
20:53:25,server_9,60.45,33.81,15743.74,17379.58,129.7
20:53:25,server_1,30.91,23.65,365.94,209.42,0.0
20:53:25,server_2,62.67,71.43,631.1,366.35,27.82
20:53:25,server_3,67.42,71.52,699.29,820.21,31.24
20:53:25,server_4,53.87,41.05,3988.05,4050.68,657.49
20:53:25,server_10,47.08,44.51,451.46,579.36,90.61
20:53:25,server_6,35.66,36.25,384.31,460.86,26.82
20:53:25,server_7,81.04,27.05,832.83,1218.27,90.98
20:53:25,server_8,33.41,27.05,170.87,142.79,4453.7
20:53:25,server_5,53.92,69.47,4144.7,3642.44,1681.31
20:53:30,server_20,45.73,52.73,4148.96,4346.1,908.84
20:53:30,server_19,22.41,58.3,299.7,286.12,74.89
20:53:30,server_18,98.32,90.12,992.13,845.08,51.46
20:53:30,server_17,26.59,49.18,303.89,199.68,42.53
20:53:30,server_16,82.31,27.05,793.7,404.75,126.65
20:53:30,server_15,95.92,15.89,933.32,864.49,3.95
20:53:30,server_14,54.86,33.03,17338.45,17854.86,101.43
20:53:30,server_12,27.61,42.23,273.61,216.67,2.91
